Facility Id,FRS Id,Facility Name,Reported City,Reported State,Reported Zip Code,Reported Address,Reported County,Reported Latitude,Reported Longitude,Primary NAICS Code,Industry Type (subparts),Total reported direct emissions from Electrical Equipment Use,SF6 emissions ,Does the facility employ continuous emissions monitoring? 
1003708,1.10001E+11,AEP Corporate SF6 Emissions,Columbus,OH,43215,1 Riverside Plaza,WASHINGTON COUNTY,39.588493,-81.682523,221112,DD,"132,693.72","132,693.72",N
1010811,1.10011E+11,Ameren Illinois Electric,Peoria,IL,61602,300 Liberty Street,PEORIA COUNTY,40.69048,-89.59244,221122,DD,"7,644.84","7,644.84",N
1010812,1.10012E+11,Ameren Missouri Electric,St. Louis,MO,63103,1901 Chouteau Avenue,ST. LOUIS CITY,38.620785,-90.211635,221122,DD,"5,264.52","5,264.52",N
1010076,1.10056E+11,Anaheim Electric Distribution System,Anaheim,CA,92805,"201 S. Anaheim Blvd., MS-1101",ORANGE COUNTY,33.83458,-117.91401,221122,DD,"1,810.32","1,810.32",N
1009780,1.10012E+11,Arizona Public Service Company,Phoenix,AZ,85021,2124 W. Cheryl Ave.,MARICOPA COUNTY,33.578425,-112.104408,221121,DD,"40,777.80","40,777.80",N
1010805,1.10064E+11,Avista Corporation,Spokane,WA,99220,1411 E.Mission,SPOKANE COUNTY,47.675155,-117.387747,221121,DD,665.76,665.76,N
1007339,1.1E+11,BP Whiting Business Unit,WHITING,IN,46394,2815 INDIANAPOLIS BLVD,Lake,41.6703,-87.4803,324110,"C,D,DD,MM-REF,P,Y","1,158.24","1,158.24",N
1013043,1.10011E+11,Basin Electric Power Cooperative,Bismarck,ND,58503,1717 East Interstate Avenue,BURLEIGH COUNTY,46.83447,-100.76678,221122,DD,"6,103.56","6,103.56",N
1013207,1.10071E+11,Bearkat Substation,Garden City,TX,79739,,GLASSCOCK COUNTY,31.766,-101.5312,221121,DD,0,,N
1005611,1.10001E+11,Bonneville Power Administration - Transmission,Vancouver,WA,98663, 5411 NE Hwy 99,CLARK COUNTY,45.6616,-122.6572,221121,DD,"26,019.36","26,019.36",N
1006158,1.10044E+11,CON EDISON - ELECTRIC TRANSMISSION & DISTRIBUTION SYSTEM,New York,NY,10003,4 Irving Place,NEW YORK COUNTY,40.7341,-73.98868,237130,DD,"64,745.16","64,745.16",N
1008343,1.10005E+11,"CenterPoint Energy Houston Electric, LLC substations",Houston,TX,77034,"4500 South Shaver, Building D",HARRIS COUNTY,29.639182,-95.208525,221121,DD,"24,633.12","24,633.12",N
1011288,1.10001E+11,Central Hudson Gas and Electric Corporation Elec T&D Equipment,Poughkeepsie,NY,12601,284 South Avenue,DUTCHESS COUNTY,41.690648,-73.931605,221122,DD,"3,910.20","3,910.20",N
1009507,1.10008E+11,Clark Energy Center,Marcy,NY,13403,6520 Glass Factory Road,ONEIDA COUNTY,43.17781,-75.22843,221121,DD,"12,660.84","12,660.84",N
1007204,1.10001E+11,Coalinga Cogeneration Facility,COALINGA,CA,93210,32812 WEST GALE AVE,Fresno,36.1807,-120.3885,221112,"D,DD",0,,N
1009855,1.10017E+11,Consumers Energy - Electric Asset Management,Jackson,MI,49201,One Energy Plaza,JACKSON COUNTY,42.24668,-84.40311,221121,DD,818.52,818.52,N
1013208,1.10071E+11,Cottonwood Substation,Roaring Springs,TX,79220,,DICKENS COUNTY,33.7783,-100.8766,221121,DD,0,,N
1002040,1.10008E+11,DOW TEXAS OPERATIONS FREEPORT,FREEPORT,TX,77541,2301 N. BRAZOSPORT BLVD. BUILDING B-101,BRAZORIA COUNTY,28.9792,-95.3549,325110,"C,DD,TT,W-UNSTG,X",29.64,29.64,N
1009685,1.10064E+11,Duke Energy Power Delivery Carolinas,Charlotte,NC,28202,526 South Church St,MECKLENBURG COUNTY,35.22476,-80.84901,221121,DD,"249,121.92","249,121.92",N
1009540,1.10044E+11,Duke Energy Power Delivery Midwest,Cincinnati,OH,45202,139 East Fourth Street,HAMILTON COUNTY,39.10036,-84.50994,221121,DD,"8,789.40","8,789.40",N
1008769,1.10056E+11,East Garden City Substation,Garden City,NY,11599,595 Stewart Avenue,NASSAU COUNTY,40.731721,-73.611541,221121,DD,"1,452.36","1,452.36",N
1001695,1.10014E+11,East Kentucky Power Transmission System,Winchester,KY,40391,4775 Lexington Road,CLARK COUNTY,38.02152,-84.25715,221112,DD,"4,092.60","4,092.60",N
1011120,1.1001E+11,Entergy (all subsidiary companies),New Orleans,LA,70113,639 Loyola Ave.,ORLEANS PARISH,29.94914,-90.07633,221122,DD,"11,625.72","11,625.72",N
1009620,1.10018E+11,Evergy Transmission and Distribution,Topeka,KS,66612,818 S Kansas Ave,SHAWNEE COUNTY,39.04854,-95.67468,221121,DD,"9,993.24","9,993.24",N
1003060,1.1001E+11,FPL Transmission and Distribution System,Riviera Beach,FL,33407,"2455 Port West Blvd, BLDG-E",PALM BEACH COUNTY,26.768814,-80.101219,221121,DD,"41,040.00","41,040.00",N
1013209,1.10071E+11,Faraday Substation,Gail,TX,79720,,BORDEN COUNTY,32.6479,-101.3971,221121,DD,0,,N
1009854,1.10014E+11,FirstEnergy Substation Group,Akron,OH,44308,76 South Main Street,SUMMIT COUNTY,41.08312,-81.51766,221121,DD,"134,540.52","134,540.52",N
1001032,1.10008E+11,Gibbons Creek Steam Electric Station,ANDERSON,TX,77830,12824 FM244,Grimes,30.6167,-96.0778,221112,"D,DD","1,525.32","1,525.32",N
1013210,1.10071E+11,Grelton Substation,Stanton,TX,79749,,MARTIN COUNTY,32.1664,-101.8815,221121,DD,0,,N
1013499,,Gulf Power Company Transmission and Distribution,Pensacola,FL,32520,One Energy Place,,30.414704,-87.202644,221121,DD,"1,388.52","1,388.52",N
1010344,1.10002E+11,HECO Distribution and Transmission,Honolulu,HI,96814,820 Ward Avenue,HONOLULU COUNTY,21.30042,-157.85149,221122,DD,"3,600.12","3,600.12",N
1013286,1.10065E+11,Hummel Station LLC,Selinsgrove,PA,17876,2386 N. Old Trail Road,SNYDER COUNTY,40.8361,-76.825,221112,"C,D,DD",0,,N
1010527,1.10049E+11,ITC Great Plains,Novi,MI,48377,27175 Energy Way,OAKLAND COUNTY,42.4926,-83.44298,221121,DD,228,228,N
1009726,1.10049E+11,ITC Midwest,Novi,MI,48377,27175 Energy Way,OAKLAND COUNTY,42.4926,-83.44298,221121,DD,"9,735.60","9,735.60",N
1009725,1.10049E+11,ITC Transmission/Michigan Electric Transmission Company,Novi,MI,48377,27175 Energy Way,OAKLAND COUNTY,42.4926,-83.44298,221121,DD,"39,298.08","39,298.08",N
1013535,1.10069E+11,Indianapolis Power & Light Company,Indianapolis,IN,46221,1230 W. Morris Street,MARION COUNTY,39.75142,-86.18121,221122,DD,"1,705.44","1,705.44",N
1004001,1.10007E+11,Kern River Cogeneration Facility,BAKERSFIELD,CA,93308,1546 SW China Grade Loop,KERN COUNTY,35.4518,-118.9851,221112,"C,DD",182.4,182.4,N
1009894,1.10028E+11,LCRA Transmission Services,Austin,TX,78703,3700 Lake Austin Blvd,TRAVIS COUNTY,30.29394,-97.78362,221121,DD,"23,144.28","23,144.28",N
1009765,1.10044E+11,"LG&E and KU Energy, LLC - Subpart DD SF6",Louisville,KY,40202,220 West Main Street,JEFFERSON COUNTY,38.25634,-85.75418,221112,DD,"37,677.00","37,677.00",N
1009868,1.10005E+11,LIPA T&D System,Uniondale,NY,11553,333 Earle Ovington Blvd,NASSAU COUNTY,40.724276,-73.59322,221121,DD,"16,721.52","16,721.52",N
1013238,1.10071E+11,Liberty Utilities Kodiak Service Center,Joplin,MO,64804,3400 S. Kodiak Rd.,NEWTON COUNTY,37.05216,-94.405951,221122,DD,656.64,656.64,N
1013211,1.10071E+11,Long Draw Substation,Gail,TX,79738,,BORDEN COUNTY,32.7213,-101.633,221121,DD,0,,N
1009555,1.10037E+11,Los Angeles Department of Water and Power - electric power transmission & distribution entity (SF6),Los Angeles,CA,90012,111 N. Hope Street,LOS ANGELES COUNTY,34.05651,-118.24976,221121,DD,"20,460.72","20,460.72",N
1009627,1.10044E+11,MidAmerican Energy Company,Des Moines,IA,50309,"666 Grand Avenue, Suite 500",POLK COUNTY,41.58758,-93.62616,221122,DD,"10,560.96","10,560.96",N
1014009,1.10069E+11,Montana-Dakota Utilities Co. - Electric Power System,Bismarck,ND,58501,400 N Fourth St.,BURLEIGH COUNTY,46.80891,-100.7861,221121,DD,148.2,148.2,N
1001564,1.10071E+11,Muscatine,MUSCATINE,IA,52761,3205 CEDAR ST,Muscatine,41.3917,-91.0569,221112,"C,D,DD",20.52,20.52,N
1010121,1.10003E+11,NIPSCO Electric Transmission,Merrillville,IN,46410,801 East 86th Avenue,LAKE COUNTY,41.46339,-87.32624,221121,DD,"4,986.36","4,986.36",N
1010049,1.10002E+11,NPPD T&D System,Columbus,NE,68601,1414 15th Street,PLATTE COUNTY,41.43107,-97.34489,221121,DD,"9,560.04","9,560.04",N
1009612,1.10009E+11,Nevada Power d/b/a NV Energy Transmission,Las Vegas,NV,89146,6226 West Sahara Ave,CLARK COUNTY,36.14427,-115.22733,221112,DD,"12,068.04","12,068.04",N
1009741,1.1004E+11,New England Power Company,Waltham,MA,2451,40 Sylvan Road,MIDDLESEX COUNTY,42.396463,-71.271237,221121,DD,"13,816.80","13,816.80",N
1009542,1.10044E+11,"Northern States Power Company, A Minnesota Corporation - Subpart DD",Minneapolis,MN,55401,414 Nicollet Mall,HENNEPIN COUNTY,44.97967,-93.26989,221121,DD,"29,838.36","29,838.36",N
1007416,1.10056E+11,Oklahoma Gas & Electric Co.,Oklahoma City,OK,73102,321 N Harvey Mailcode WN50,OKLAHOMA COUNTY,35.471181,-97.516602,221122,DD,"32,902.68","32,902.68",N
1008107,1.10033E+11,Oncor Electric Delivery,Dallas,TX,75202,1616 Woodall Rodgers Freeway,DALLAS COUNTY,32.78705,-96.80382,221122,DD,"27,054.48","27,054.48",N
1013650,1.10021E+11,Otter Tail Power Co. Transmisstion & Distribution System,Fergus Falls,MN,56537,215 S. Cascade St.,OTTER TAIL COUNTY,46.28221,-96.07241,221122,DD,"1,073.88","1,073.88",N
1000326,1.10044E+11,PECO Transmission and Distribution,Philadelphia,PA,19103,2301 Market Street  S7-2,DELAWARE COUNTY,39.832588,-75.424143,221121,DD,"24,345.84","24,345.84",N
1010144,1.10014E+11,PGE T&D Facility,Portland,OR,97204,121 SW Salmon Street,MULTNOMAH COUNTY,45.52,-122.66999,221122,DD,"5,538.12","5,538.12",N
1009440,1.10023E+11,PNM Electric Operations,Albuquerque,NM,87107,4201 Edith Boulevard NE,BERNALILLO COUNTY,35.12388,-106.6329,221122,DD,"29,047.20","29,047.20",N
1009569,1.10047E+11,PPL Electric Utilities,Allentown,PA,18101,2 North 9th Street,LEHIGH COUNTY,40.608388,-75.45599,221122,DD,"1,251.72","1,251.72",N
1010191,1.10056E+11,PREPA Electrical Transmission and Distribution Equiment,San Juan,PR,936,Ponce de Leon Avenue Box 364267,SAN JUAN MUNICIPIO,18.466224,-66.105724,221121,DD,"9,742.44","9,742.44",N
1010796,1.10002E+11,PSE&G Subpart DD,Newark,NJ,7102,80 Park Plaza,ESSEX COUNTY,40.73811,-74.16993,221121,DD,"18,472.56","18,472.56",N
1009619,1.10001E+11,PacifiCorp (T&D System),Salt Lake City,UT,84116,"1407 west North Temple, Suite 110",SALT LAKE COUNTY,40.768613,-111.926354,221121,DD,"25,203.12","25,203.12",N
1009578,1.10001E+11,Pacific Gas and Electric Company (PG&E) - SF6 Emissions,San Francisco,CA,94105,77 Beale Street,SAN FRANCISCO COUNTY,37.79134,-122.39604,221122,DD,"56,607.84","56,607.84",N
1013811,1.10013E+11,PowerSouth Transmission System,Andalusia,AL,36421,2027 East Three Notch Street,COVINGTON COUNTY,31.32981,-86.46757,221121,DD,114,114,N
1009543,1.1007E+11,Public Service Company of Colorado - Subpart DD,Minneapolis,MN,55401,414 Nicollet Mall,HENNEPIN COUNTY,44.97967,-93.26989,221121,DD,"26,922.24","26,922.24",N
1010301,1.10044E+11,Puget Sound Energy T&D,Bellevue,WA,98004,10885 N.E. 4th Street,KING COUNTY,47.61373,-122.19453,221122,DD,"15,561.00","15,561.00",N
1012373,1.10068E+11,Red Gate Power Plant,Edinburg,TX,78541,3428 WEST FM 490,HIDALGO COUNTY,26.450628,-98.177386,221112,"C,DD",0,,N
1012430,1.1007E+11,Rochester Gas and Electric - Subpart DD,Rochester,NY,14649,89 East Avenue,MONROE COUNTY,43.15694,-77.60186,221122,DD,"1,322.40","1,322.40",N
1009695,1.10044E+11,SCE&G Electric Power Delivery,Cayce,SC,29033,220 Operations Way,LEXINGTON COUNTY,33.956548,-81.047512,221121,DD,"28,037.16","28,037.16",N
1003998,1.10007E+11,SYCAMORE COGENERATION Facility,BAKERSFIELD,CA,93308,1546 SW China Grade Loop,KERN COUNTY,35.4518,-118.9851,221112,"C,DD",216.6,216.6,N
1013543,1.10012E+11,Sacramento Municipal Utility District (SMUD)-SF6,Sacramento,CA,95817,6201 S Street,SACRAMENTO COUNTY,38.551717,-121.429721,221121,DD,"1,887.84","1,887.84",N
1000507,1.10035E+11,Salinas River Cogeneration Facility,SAN ARDO,CA,93450,"Star Route 42, Wunpost Road",Monterey,35.9515,-120.8679,221112,"D,DD",0,,N
1009888,1.10039E+11,Salt River Project - T & D Equipment,Tempe,AZ,85281,1521 N. Project Drive,MARICOPA COUNTY,33.447479,-111.952819,221121,DD,"7,334.76","7,334.76",N
1013191,1.10071E+11,Sand Bluff Substation,Big Spring,TX,79720,,GLASSCOCK COUNTY,32.0035,-101.2729,221121,DD,31.92,31.92,N
1000506,1.10043E+11,Sargent Canyon Cogeneration Facility,San Ardo,CA,93450,,Monterey,35.9359,-120.8405,221112,"D,DD",0,,N
1010082,1.10005E+11,Seattle City Light,Seattle,WA,98124,"700 5th Ave, Suite 3300, PO Box 34023",KING COUNTY,47.60443,-122.32983,221111,DD,458.28,458.28,N
1013733,1.1006E+11,Shell Chemical Appalachia LLC,monaca,PA,15061,300 frankfort road,BEAVER COUNTY,40.66564,-80.33646,325110,DD,0,,N
1009784,1.10009E+11,Sierra Pacific Power Co d/b/a NV Energy Transmission,Las Vegas,NV,89146,6226 W Sahara Ave,CLARK COUNTY,36.14427,-115.22733,221112,DD,574.56,574.56,N
1009787,1.10012E+11,Southern California Edison,Rosemead,CA,91770,2244 Walnut Grove Avenue,LOS ANGELES COUNTY,34.05306,-118.0818,221122,DD,"151,588.08","151,588.08",N
1009585,1.10056E+11,Southern Company Transmission and Distribution,Atlanta,GA,30308,30 Ivan Allen Jr. Blvd. NW,FULTON COUNTY,33.76466,-84.38826,221121,DD,"67,909.80","67,909.80",N
1009544,1.10044E+11,Southwestern Public Service Company - Subpart DD,Minneapolis,MN,55401,414 Nicollet Mall,HENNEPIN COUNTY,44.97967,-93.26989,221121,DD,"140,860.68","140,860.68",N
1009537,1.1004E+11,T&D FLORIDA,SAINT PETERSBURG,FL,33701,299 FIRST AVE N,PINELLAS COUNTY,27.77209,-82.6371,221112,DD,"126,125.04","126,125.04",N
1008733,1.10005E+11,TVA Transmission System,Chattanooga,TN,37402,1101 Market St. ,HAMILTON COUNTY,35.04299,-85.3093,221121,DD,"35,547.48","35,547.48",N
1009645,1.10056E+11,Tampa Electric Company,Tampa,FL,33601,PO Box 111,HILLSBOROUGH COUNTY,27.94,-82.45,221121,DD,"4,881.48","4,881.48",N
1009439,1.10056E+11,Texas New Mexico Power,Lewisville,TX,75067,577 N. Garden Ridge Boulevard,DENTON COUNTY,33.04887,-97.03545,221122,DD,"4,491.60","4,491.60",N
1009917,1.10017E+11,Transmission and Distribution,"El Paso, TX",TX,79901,100 North Stanton Street ,EL PASO COUNTY,31.75853,-106.48587,221112,DD,"31,128.84","31,128.84",N
1008193,1.10012E+11,Tucson Electric Power Company,Tucson,AZ,85701,88 East Broadway Blvd.,PIMA COUNTY,32.16306,-110.89745,221122,DD,"1,176.48","1,176.48",N
1010321,1.10056E+11,Vermont Electric Power Company,Rutland,VT,5701,366 Pinnacle Ridge Rd,RUTLAND COUNTY,43.66108,-72.9926,221121,DD,319.2,319.2,N
1009971,1.10021E+11,Virginia Electric and Power Company,Richmond,VA,23219,120 Tredegar Street,RICHMOND CITY,37.533948,-77.452741,221121,DD,"30,973.80","30,973.80",N
1010171,1.10016E+11,WAPA,Lakewood,CO,80228,12155 West Alameda Parkway,JEFFERSON COUNTY,39.7061,-105.1367,221122,DD,"69,218.52","69,218.52",N
